Country,Region,Date,new_Cases,new_Deaths,Period,IsoCode
Brazil,Rio Grande do Sul,2020-04-30,NA,111,2020_Q1,BR-RS
Brazil,Rio Grande do Sul,2020-08-30,NA,3761,2020_Q2,BR-RS
Brazil,Rio Grande do Sul,2020-12-31,NA,5546,2020_Q3,BR-RS
Brazil,Rio Grande do Sul,2021-04-30,NA,16587,2021_Q1,BR-RS
Brazil,Rondônia,2020-04-30,NA,27,2020_Q1,BR-RO
Brazil,Rondônia,2020-08-30,NA,915,2020_Q2,BR-RO
Brazil,Rondônia,2020-12-31,NA,628,2020_Q3,BR-RO
Brazil,Rondônia,2021-04-30,NA,3134,2021_Q1,BR-RO
Brazil,Roraima,2020-04-30,NA,4,2020_Q1,BR-RR
Brazil,Roraima,2020-08-30,NA,557,2020_Q2,BR-RR
Brazil,Roraima,2020-12-31,NA,138,2020_Q3,BR-RR
Brazil,Roraima,2021-04-30,NA,548,2021_Q1,BR-RR
Brazil,Santa Catarina,2020-04-30,NA,77,2020_Q1,BR-SC
Brazil,Santa Catarina,2020-08-30,NA,2321,2020_Q2,BR-SC
Brazil,Santa Catarina,2020-12-31,NA,3116,2020_Q3,BR-SC
Brazil,Santa Catarina,2021-04-30,NA,8127,2021_Q1,BR-SC
Brazil,São Paulo,2020-04-30,NA,3729,2020_Q1,BR-SP
Brazil,São Paulo,2020-08-30,NA,30152,2020_Q2,BR-SP
Brazil,São Paulo,2020-12-31,NA,18204,2020_Q3,BR-SP
Brazil,São Paulo,2021-04-30,NA,60429,2021_Q1,BR-SP
Brazil,Sergipe,2020-04-30,NA,10,2020_Q1,BR-SE
Brazil,Sergipe,2020-08-30,NA,1549,2020_Q2,BR-SE
Brazil,Sergipe,2020-12-31,NA,596,2020_Q3,BR-SE
Brazil,Sergipe,2021-04-30,NA,1727,2021_Q1,BR-SE
Brazil,Tocantis,2020-04-30,NA,2,2020_Q1,BR-TO
Brazil,Tocantis,2020-08-30,NA,534,2020_Q2,BR-TO
Brazil,Tocantis,2020-12-31,NA,378,2020_Q3,BR-TO
Brazil,Tocantis,2021-04-30,NA,1182,2021_Q1,BR-TO
Colombia,All,2020-04-30,7870,413,2020_Q1,CO
Colombia,All,2020-08-30,701684,22627,2020_Q2,CO
Colombia,All,2020-12-31,1253167,26738,2020_Q3,CO
Colombia,All,2021-04-30,1412951,35640,2021_Q1,CO
Colombia,Amazonas,2020-08-30,2702,112,2020_Q2,CO-AMA
Colombia,Amazonas,2020-12-31,566,15,2020_Q3,CO-AMA
Colombia,Amazonas,2021-04-30,2922,112,2021_Q1,CO-AMA
Colombia,Antioquia,2020-08-30,130571,2760,2020_Q2,CO-ANT
Colombia,Antioquia,2020-12-31,295738,4782,2020_Q3,CO-ANT
Colombia,Antioquia,2021-04-30,324457,7935,2021_Q1,CO-ANT
Colombia,Arauca,2020-12-31,4715,137,2020_Q3,CO-ARA
Colombia,Arauca,2021-04-30,1905,52,2021_Q1,CO-ARA
Colombia,Atlantico,2020-08-30,64313,2990,2020_Q2,CO-ATL
Colombia,Atlantico,2020-12-31,32984,483,2020_Q3,CO-ATL
Colombia,Atlantico,2021-04-30,147532,3745,2021_Q1,CO-ATL
Colombia,Bogota,2020-04-30,2630,127,2020_Q1,CO-DC
Colombia,Bogota,2020-08-30,210127,5466,2020_Q2,CO-DC
Colombia,Bogota,2020-12-31,274010,4384,2020_Q3,CO-DC
Colombia,Bogota,2021-04-30,317174,5957,2021_Q1,CO-DC
Colombia,Bolivar,2020-08-30,25882,736,2020_Q2,CO-BOL
Colombia,Bolivar,2020-12-31,28128,388,2020_Q3,CO-BOL
Colombia,Bolivar,2021-04-30,29365,468,2021_Q1,CO-BOL
Colombia,Boyaca,2020-08-30,3947,88,2020_Q2,CO-BOY
Colombia,Boyaca,2020-12-31,26238,543,2020_Q3,CO-BOY
Colombia,Boyaca,2021-04-30,24586,647,2021_Q1,CO-BOY
Colombia,Caldas,2020-08-30,2967,61,2020_Q2,CO-CAL
Colombia,Caldas,2020-12-31,30554,591,2020_Q3,CO-CAL
Colombia,Caldas,2021-04-30,28849,572,2021_Q1,CO-CAL
Colombia,Caqueta,2020-08-30,6125,214,2020_Q2,CO-CAQ
Colombia,Caqueta,2020-12-31,9044,329,2020_Q3,CO-CAQ
Colombia,Caqueta,2021-04-30,2356,113,2021_Q1,CO-CAQ
Colombia,Casanare,2020-12-31,9006,197,2020_Q3,CO-CAS
Colombia,Casanare,2021-04-30,6587,159,2021_Q1,CO-CAS
Colombia,Cauca,2020-08-30,5343,169,2020_Q2,CO-CAU
Colombia,Cauca,2020-12-31,13942,343,2020_Q3,CO-CAU
Colombia,Cauca,2021-04-30,11766,315,2021_Q1,CO-CAU
Colombia,Cesar,2020-08-30,10870,317,2020_Q2,CO-CES
Colombia,Cesar,2020-12-31,23496,683,2020_Q3,CO-CES
Colombia,Cesar,2021-04-30,21321,467,2021_Q1,CO-CES
Colombia,Choco,2020-08-30,3726,149,2020_Q2,CO-CHO
