"","state","state_iso","date","dts","bsn","exposure","excess","pscore"
"107","Alagoas","AL",2020-03-08,406,379.968312856543,65683.9033748749,26.0316871434573,1.06851015272236
"108","Alagoas","AL",2020-03-15,410,376.555987009868,65688.9278813935,33.4440129901325,1.08881551255021
"109","Alagoas","AL",2020-03-22,374,375.179909157479,65693.9439680919,-1.17990915747924,0.996855084377709
"110","Alagoas","AL",2020-03-29,381,376.163599569504,65698.9515722902,4.83640043049627,1.01285717287912
"111","Alagoas","AL",2020-04-05,443,378.855789542807,65703.9506313085,64.1442104571935,1.16931036090171
"112","Alagoas","AL",2020-04-12,430,382.590197586858,65708.9410824668,47.4098024131425,1.12391797466891
"113","Alagoas","AL",2020-04-19,402,386.686741221343,65713.9228630854,15.3132587786571,1.03960119948848
"114","Alagoas","AL",2020-04-26,403,390.449244569915,65718.8959104842,12.5507554300854,1.03214439675485
"115","Alagoas","AL",2020-05-03,464,393.561889371046,65723.8601619834,70.4381106289537,1.17897594388908
"116","Alagoas","AL",2020-05-10,616,396.233429585527,65728.815554903,219.766570414473,1.5546391445173
"117","Alagoas","AL",2020-05-17,654,398.716561945852,65733.7620265631,255.283438054148,1.64026293968901
"118","Alagoas","AL",2020-05-24,728,401.271192656456,65738.6995142839,326.728807343544,1.81423439639553
"119","Alagoas","AL",2020-05-31,789,404.16312489566,65743.6279553853,384.83687510434,1.95218205570756
"120","Alagoas","AL",2020-06-07,737,407.466087810279,65748.5472871876,329.533912189721,1.80873948053109
"121","Alagoas","AL",2020-06-14,666,410.806545413409,65753.4574470107,255.193454586591,1.62120104325451
"122","Alagoas","AL",2020-06-21,658,413.737562686333,65758.3583721748,244.262437313667,1.59038013306723
"123","Alagoas","AL",2020-06-28,598,415.800369063935,65763.25,182.199630936065,1.43819016165435
"124","Alagoas","AL",2020-07-05,536,416.531375802225,65768.1322949346,119.468624197775,1.28681782727095
"125","Alagoas","AL",2020-07-12,525,415.610566364714,65773.0053299402,109.389433635286,1.26320176263106
"126","Alagoas","AL",2020-07-19,516,413.280006413771,65777.8692051067,102.719993586229,1.24854818039125
"127","Alagoas","AL",2020-07-26,468,409.927052365221,65782.7240205238,58.0729476347794,1.14166654115581
"128","Alagoas","AL",2020-08-02,435,405.936914392175,65787.5698762814,29.0630856078254,1.07159507937666
"129","Alagoas","AL",2020-08-09,459,401.685087172775,65792.4068724693,57.3149128272247,1.14268618541612
"130","Alagoas","AL",2020-08-16,402,397.498774957388,65797.2351091774,4.50122504261191,1.01132387148387
"131","Alagoas","AL",2020-08-23,460,393.43954801205,65802.0546864955,66.5604519879499,1.16917580432436
"132","Alagoas","AL",2020-08-30,394,389.454509809605,65806.8657045134,4.54549019039467,1.01167142779427
"133","Alagoas","AL",2020-09-06,375,385.492341996883,65811.668263321,-10.4923419968827,0.97278197034335
"134","Alagoas","AL",2020-09-13,432,381.503785631109,65816.4624630081,50.4962143688911,1.13236097850342
"135","Alagoas","AL",2020-09-20,404,377.460180314426,65821.2484036646,26.5398196855743,1.07031157475596
"136","Alagoas","AL",2020-09-27,395,373.608625160849,65826.0261853802,21.3913748391512,1.05725610544976
"137","Alagoas","AL",2020-10-04,389,370.395798166184,65830.7959082449,18.604201833816,1.05022789655262
"138","Alagoas","AL",2020-10-11,411,368.260282899698,65835.5576723484,42.7397171003021,1.11605844856189
"139","Alagoas","AL",2020-10-18,439,367.63737300875,65840.3115777806,71.3626269912501,1.19411145936339
"140","Alagoas","AL",2020-10-25,359,368.954199632659,65845.0577246313,-9.95419963265886,0.973020500532127
"141","Alagoas","AL",2020-11-01,360,371.865229320627,65849.7962129904,-11.8652293206266,0.968092662650112
