"","dpto","date","isoweek","dts","bsn","exposure","excess","pscore"
"151","Antioquia",2021-03-14,"2021-W10-7",702.346037735849,681.085039148991,129814.420508354,1.03121636413189,1.03121636413189
"152","Antioquia",2021-03-21,"2021-W11-7",772.488015858713,683.555106283948,129851.097091517,1.1301034967879,1.1301034967879
"153","Antioquia",2021-03-28,"2021-W12-7",899.818304172275,685.0017912029,129887.723880077,1.31359992882959,1.31359992882959
"154","Antioquia",2021-04-04,"2021-W13-7",1016.99984560753,685.250460073575,129924.305517177,1.48412865786086,1.48412865786086
"155","Antioquia",2021-04-11,"2021-W14-7",1299.39241561328,685.153043945339,129960.846645956,1.89649951510242,1.89649951510242
"156","Antioquia",2021-04-18,"2021-W15-7",1583.92980997625,685.58973908309,129997.351909558,2.31031726363729,2.31031726363729
"157","Antioquia",2021-04-25,"2021-W16-7",1697.98016189716,687.443995908293,130033.825951122,2.46999053305235,2.46999053305235
"158","Antioquia",2021-05-02,"2021-W17-7",1446.25373134328,691.593088652168,130070.273413791,2.09119170661734,2.09119170661734
"159","Antioquia",2021-05-09,"2021-W18-7",1366.67850699143,698.08912131791,130106.698940705,1.95774216393933,1.95774216393933
"160","Antioquia",2021-05-16,"2021-W19-7",1297.62052426102,705.872850512869,130143.107175007,1.83832048975704,1.83832048975704
"161","Antioquia",2021-05-23,"2021-W20-7",1224.93712641133,713.771643090175,130179.502759836,1.71614708747484,1.71614708747484
"162","Antioquia",2021-05-30,"2021-W21-7",1206.46830530401,720.561622377041,130215.890338336,1.67434438337699,1.67434438337699
"163","Antioquia",2021-06-06,"2021-W22-7",1202.01912456535,724.978931310416,130252.274553646,1.65800559526975,1.65800559526975
"164","Antioquia",2021-06-13,"2021-W23-7",1236.34523809524,726.305114510891,130288.660048909,1.7022394767629,1.7022394767629
"165","Antioquia",2021-06-20,"2021-W24-7",1261.88937799043,725.093006369747,130325.051467265,1.74031381754488,1.74031381754488
"166","Antioquia",2021-06-27,"2021-W25-7",1240.06485455412,722.090095866804,130361.453451856,1.71732705053313,1.71732705053313
"167","Antioquia",2021-07-04,"2021-W26-7",1240.79848204729,718.049326450694,130397.870645823,1.72801287646983,1.72801287646983
"168","Antioquia",2021-07-11,"2021-W27-7",1141.98475991649,713.714548770003,130434.307692308,1.60005812111377,1.60005812111377
"169","Antioquia",2021-07-18,"2021-W28-7",1111.67810718358,709.688271644317,130470.769068266,1.56643156101181,1.56643156101181
